WP [J kg-1],K [kg s m-3]
0.10,1.46E-03
9.52,3.34E-05
10.04,2.78E-05
10.63,2.42E-05
11.29,2.16E-05
12.01,1.92E-05
12.78,1.71E-05
13.60,1.49E-05
14.48,1.30E-05
15.41,1.13E-05
16.43,9.63E-06
17.49,8.39E-06
18.61,7.14E-06
19.80,6.08E-06
21.07,5.06E-06
22.37,4.30E-06
23.81,3.66E-06
25.27,3.12E-06
26.77,2.72E-06
28.42,2.31E-06
30.11,1.97E-06
31.89,1.71E-06
33.70,1.49E-06
35.78,1.24E-06
38.17,1.06E-06
40.71,9.20E-07
43.22,7.48E-07
45.88,6.82E-07
48.72,5.67E-07
51.60,5.06E-07
0.10,1.67E-03
8.14,2.26E-05
8.70,1.56E-05
9.30,1.16E-05
9.95,8.99E-06
10.66,7.14E-06
11.42,5.54E-06
12.27,4.51E-06
13.14,3.66E-06
14.11,2.98E-06
15.16,2.42E-06
16.28,2.06E-06
17.49,1.75E-06
18.82,1.36E-06
20.26,1.21E-06
21.81,9.63E-07
23.53,8.20E-07
25.39,6.98E-07
27.39,5.94E-07
29.56,5.06E-07
31.82,4.30E-07
34.33,3.75E-07
37.13,3.26E-07
40.15,2.78E-07
43.52,2.42E-07
47.28,2.11E-07
51.25,1.75E-07
55.55,1.53E-07
0.10,1.84E-03
5.50,2.37E-05
5.84,2.06E-05
6.22,1.92E-05
6.62,1.75E-05
7.06,1.60E-05
7.51,1.53E-05
7.99,1.33E-05
8.56,1.27E-05
9.16,1.06E-05
9.76,8.99E-06
10.46,7.14E-06
11.29,5.67E-06
12.04,4.94E-06
12.87,4.51E-06
13.95,3.92E-06
15.12,3.05E-06
16.39,2.53E-06
17.77,2.01E-06
19.26,1.64E-06
20.93,1.33E-06
22.73,1.08E-06
24.76,8.79E-07
26.96,6.98E-07
29.15,5.42E-07
31.60,5.06E-07
34.33,4.11E-07
37.04,3.05E-07
39.96,2.78E-07
43.42,2.37E-07
47.28,2.06E-07
51.96,1.79E-07
57.10,1.43E-07
62.76,1.11E-07
68.81,9.20E-08
75.63,7.48E-08
83.11,6.22E-08
91.34,5.06E-08
100.39,4.11E-08
110.58,3.50E-08
120.97,2.84E-08
0.10,1.84E-03
4.57,2.53E-05
4.91,1.75E-05
5.27,1.33E-05
5.66,1.06E-05
6.06,8.59E-06
6.48,7.14E-06
6.94,6.08E-06
7.41,5.17E-06
7.92,4.51E-06
8.45,3.92E-06
9.01,3.42E-06
9.59,2.98E-06
10.20,2.65E-06
10.88,2.37E-06
11.55,2.11E-06
12.29,1.88E-06
13.05,1.67E-06
13.86,1.53E-06
14.71,1.36E-06
15.62,1.24E-06
16.58,1.11E-06
17.57,1.01E-06
18.65,9.20E-07
19.75,8.39E-07
20.93,7.65E-07
22.11,7.14E-07
23.64,6.22E-07
25.39,4.94E-07
27.27,4.40E-07
29.22,3.92E-07
31.24,3.50E-07
33.39,3.12E-07
35.62,2.84E-07
37.99,2.53E-07
40.43,2.31E-07
42.82,2.11E-07
